code,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,l_0,l_1,l_2,l_3,l_4,l_5,l_6,l_7,l_8,l_9
35760,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33651K,33651L,154040,248070,35610,357780,265520
00104K,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33652K,33652L,154040,248070,35610,357780,265520
120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33653K,33653L,154040,248070,35610,357780,265520
11150,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33654K,33654L,154040,248070,35610,357780,265520
11155,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33655K,33655L,154040,248070,35610,357780,265520
1045,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33656K,33656L,154040,248070,35610,357780,265520
97950,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33657K,33657L,154040,248070,35610,357780,265520
97955,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33658K,33658L,154040,248070,35610,357780,265520
51500,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33659K,33659L,154040,248070,35610,357780,265520
58820,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33660K,33660L,154040,248070,35610,357780,265520
23460,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33661K,33661L,154040,248070,35610,357780,265520
56730,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33662K,33662L,154040,248070,35610,357780,265520
56000,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33663K,33663L,154040,248070,35610,357780,265520
65770,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33664K,33664L,154040,248070,35610,357780,265520
83660,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33665K,33665L,154040,248070,35610,357780,265520
590,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33666K,33666L,154040,248070,35610,357780,265520
12030,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33667K,33667L,154040,248070,35610,357780,265520
367340,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33668K,33668L,154040,248070,35610,357780,265520
367360,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33669K,33669L,154040,248070,35610,357780,265520
16610,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33670K,33670L,154040,248070,35610,357780,265520
5830,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33671K,33671L,154040,248070,35610,357780,265520
990,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33672K,33672L,154040,248070,35610,357780,265520
995,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33673K,33673L,154040,248070,35610,357780,265520
139130,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33674K,33674L,154040,248070,35610,357780,265520
1530,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33675K,33675L,154040,248070,35610,357780,265520
210,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33676K,33676L,154040,248070,35610,357780,265520
1880,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33677K,33677L,154040,248070,35610,357780,265520
215,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33678K,33678L,154040,248070,35610,357780,265520
375500,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33679K,33679L,154040,248070,35610,357780,265520
37550K,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33680K,33680L,154040,248070,35610,357780,265520
68790,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33681K,33681L,154040,248070,35610,357780,265520
4840,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33682K,33682L,154040,248070,35610,357780,265520
241520,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33683K,33683L,154040,248070,35610,357780,265520
155660,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33684K,33684L,154040,248070,35610,357780,265520
69730,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33685K,33685L,154040,248070,35610,357780,265520
17940,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33686K,33686L,154040,248070,35610,357780,265520
245620,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33687K,33687L,154040,248070,35610,357780,265520
37370,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33688K,33688L,154040,248070,35610,357780,265520
278990,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33689K,33689L,154040,248070,35610,357780,265520
79190,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33690K,33690L,154040,248070,35610,357780,265520
365550,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33691K,33691L,154040,248070,35610,357780,265520
50120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33692K,33692L,154040,248070,35610,357780,265520
383220,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33693K,33693L,154040,248070,35610,357780,265520
7700,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33694K,33694L,154040,248070,35610,357780,265520
214270,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33695K,33695L,154040,248070,35610,357780,265520
130500,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33696K,33696L,154040,248070,35610,357780,265520
114090,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33697K,33697L,154040,248070,35610,357780,265520
900290,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33698K,33698L,154040,248070,35610,357780,265520
78930,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33699K,33699L,154040,248070,35610,357780,265520
83450,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33700K,33700L,154040,248070,35610,357780,265520
6360,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33701K,33701L,154040,248070,35610,357780,265520
1250,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33702K,33702L,154040,248070,35610,357780,265520
7070,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33703K,33703L,154040,248070,35610,357780,265520
78935,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33704K,33704L,154040,248070,35610,357780,265520
45890,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33705K,33705L,154040,248070,35610,357780,265520
297890,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33706K,33706L,154040,248070,35610,357780,265520
78150,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33707K,33707L,154040,248070,35610,357780,265520
12630,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33708K,33708L,154040,248070,35610,357780,265520
39570,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33709K,33709L,154040,248070,35610,357780,265520
89470,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33710K,33710L,154040,248070,35610,357780,265520
294870,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33711K,33711L,154040,248070,35610,357780,265520
195940,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33712K,33712L,154040,248070,35610,357780,265520
11200,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33713K,33713L,154040,248070,35610,357780,265520
36640,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33714K,33714L,154040,248070,35610,357780,265520
82740,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33715K,33715L,154040,248070,35610,357780,265520
335870,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33716K,33716L,154040,248070,35610,357780,265520
351340,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33717K,33717L,154040,248070,35610,357780,265520
351320,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33718K,33718L,154040,248070,35610,357780,265520
373200,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33719K,33719L,154040,248070,35610,357780,265520
388790,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33720K,33720L,154040,248070,35610,357780,265520
3560,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33721K,33721L,154040,248070,35610,357780,265520
95340,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33722K,33722L,154040,248070,35610,357780,265520
99520,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33723K,33723L,154040,248070,35610,357780,265520
175330,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33724K,33724L,154040,248070,35610,357780,265520
950170,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33725K,33725L,154040,248070,35610,357780,265520
234080,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33726K,33726L,154040,248070,35610,357780,265520
67290,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33727K,33727L,154040,248070,35610,357780,265520
1060,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33728K,33728L,154040,248070,35610,357780,265520
1067,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33729K,33729L,154040,248070,35610,357780,265520
1065,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33730K,33730L,154040,248070,35610,357780,265520
96760,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33731K,33731L,154040,248070,35610,357780,265520
35900,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33732K,33732L,154040,248070,35610,357780,265520
24840,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33733K,33733L,154040,248070,35610,357780,265520
105560,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33734K,33734L,154040,248070,35610,357780,265520
24120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33735K,33735L,154040,248070,35610,357780,265520
2380,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33736K,33736L,154040,248070,35610,357780,265520
21320,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33737K,33737L,154040,248070,35610,357780,265520
344820,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33738K,33738L,154040,248070,35610,357780,265520
36670,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33739K,33739L,154040,248070,35610,357780,265520
9070,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33740K,33740L,154040,248070,35610,357780,265520
9440,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33741K,33741L,154040,248070,35610,357780,265520
112190,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33742K,33742L,154040,248070,35610,357780,265520
119650,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33743K,33743L,154040,248070,35610,357780,265520
44180,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33744K,33744L,154040,248070,35610,357780,265520
92220,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33745K,33745L,154040,248070,35610,357780,265520
151860,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33746K,33746L,154040,248070,35610,357780,265520
16380,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33747K,33747L,154040,248070,35610,357780,265520
16385,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33748K,33748L,154040,248070,35610,357780,265520
46440,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33749K,33749L,154040,248070,35610,357780,265520
35600,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33750K,33750L,154040,248070,35610,357780,265520
1390,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33751K,33751L,154040,248070,35610,357780,265520
226360,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33752K,33752L,154040,248070,35610,357780,265520
111870,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33753K,33753L,154040,248070,35610,357780,265520
33180,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33754K,33754L,154040,248070,35610,357780,265520
60720,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33755K,33755L,154040,248070,35610,357780,265520
1940,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33756K,33756L,154040,248070,35610,357780,265520
122450,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33757K,33757L,154040,248070,35610,357780,265520
52900,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33758K,33758L,154040,248070,35610,357780,265520
58400,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33759K,33759L,154040,248070,35610,357780,265520
114450,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33760K,33760L,154040,248070,35610,357780,265520
25000,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33761K,33761L,154040,248070,35610,357780,265520
92230,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33762K,33762L,154040,248070,35610,357780,265520
40,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33763K,33763L,154040,248070,35610,357780,265520
44450,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33764K,33764L,154040,248070,35610,357780,265520
30200,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33765K,33765L,154040,248070,35610,357780,265520
33780,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33766K,33766L,154040,248070,35610,357780,265520
30210,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33767K,33767L,154040,248070,35610,357780,265520
58850,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33768K,33768L,154040,248070,35610,357780,265520
58860,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33769K,33769L,154040,248070,35610,357780,265520
60370,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33770K,33770L,154040,248070,35610,357780,265520
93050,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33771K,33771L,154040,248070,35610,357780,265520
3550,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33772K,33772L,154040,248070,35610,357780,265520
34220,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33773K,33773L,154040,248070,35610,357780,265520
51900,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33774K,33774L,154040,248070,35610,357780,265520
51905,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33775K,33775L,154040,248070,35610,357780,265520
3555,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33776K,33776L,154040,248070,35610,357780,265520
32640,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33777K,33777L,154040,248070,35610,357780,265520
11070,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33778K,33778L,154040,248070,35610,357780,265520
66570,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33779K,33779L,154040,248070,35610,357780,265520
66575,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33780K,33780L,154040,248070,35610,357780,265520
37560,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33781K,33781L,154040,248070,35610,357780,265520
51910,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33782K,33782L,154040,248070,35610,357780,265520
51915,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33783K,33783L,154040,248070,35610,357780,265520
79550,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33784K,33784L,154040,248070,35610,357780,265520
6260,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33785K,33785L,154040,248070,35610,357780,265520
10120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33786K,33786L,154040,248070,35610,357780,265520
680,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33787K,33787L,154040,248070,35610,357780,265520
229640,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33788K,33788L,154040,248070,35610,357780,265520
108320,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33789K,33789L,154040,248070,35610,357780,265520
1120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33790K,33790L,154040,248070,35610,357780,265520
108670,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33791K,33791L,154040,248070,35610,357780,265520
108675,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33792K,33792L,154040,248070,35610,357780,265520
383800,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33793K,33793L,154040,248070,35610,357780,265520
38380K,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33794K,33794L,154040,248070,35610,357780,265520
23150,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33795K,33795L,154040,248070,35610,357780,265520
35420,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33796K,33796L,154040,248070,35610,357780,265520
160550,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33797K,33797L,154040,248070,35610,357780,265520
53290,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33798K,33798L,154040,248070,35610,357780,265520
181710,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33799K,33799L,154040,248070,35610,357780,265520
104200,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33800K,33800L,154040,248070,35610,357780,265520
60250,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33801K,33801L,154040,248070,35610,357780,265520
5940,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33802K,33802L,154040,248070,35610,357780,265520
5945,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33803K,33803L,154040,248070,35610,357780,265520
338100,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33804K,33804L,154040,248070,35610,357780,265520
34310,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33805K,33805L,154040,248070,35610,357780,265520
30190,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33806K,33806L,154040,248070,35610,357780,265520
8260,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33807K,33807L,154040,248070,35610,357780,265520
4250,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33808K,33808L,154040,248070,35610,357780,265520
4255,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33809K,33809L,154040,248070,35610,357780,265520
10060,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33810K,33810L,154040,248070,35610,357780,265520
78590,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33811K,33811L,154040,248070,35610,357780,265520
178920,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33812K,33812L,154040,248070,35610,357780,265520
24940,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33813K,33813L,154040,248070,35610,357780,265520
5490,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33814K,33814L,154040,248070,35610,357780,265520
218410,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33815K,33815L,154040,248070,35610,357780,265520
327260,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33816K,33816L,154040,248070,35610,357780,265520
91340,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33817K,33817L,154040,248070,35610,357780,265520
10950,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33818K,33818L,154040,248070,35610,357780,265520
10955,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33819K,33819L,154040,248070,35610,357780,265520
19550,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33820K,33820L,154040,248070,35610,357780,265520
950110,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33821K,33821L,154040,248070,35610,357780,265520
34120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33822K,33822L,154040,248070,35610,357780,265520
101060,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33823K,33823L,154040,248070,35610,357780,265520
46140,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33824K,33824L,154040,248070,35610,357780,265520
36120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33825K,33825L,154040,248070,35610,357780,265520
99220,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33826K,33826L,154040,248070,35610,357780,265520
36540,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33827K,33827L,154040,248070,35610,357780,265520
255220,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33828K,33828L,154040,248070,35610,357780,265520
40610,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33829K,33829L,154040,248070,35610,357780,265520
49470,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33830K,33830L,154040,248070,35610,357780,265520
184230,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33831K,33831L,154040,248070,35610,357780,265520
5090,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33832K,33832L,154040,248070,35610,357780,265520
16250,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33833K,33833L,154040,248070,35610,357780,265520
1380,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33834K,33834L,154040,248070,35610,357780,265520
4060,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33835K,33835L,154040,248070,35610,357780,265520
1770,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33836K,33836L,154040,248070,35610,357780,265520
2360,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33837K,33837L,154040,248070,35610,357780,265520
9160,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33838K,33838L,154040,248070,35610,357780,265520
123700,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33839K,33839L,154040,248070,35610,357780,265520
25530,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33840K,33840L,154040,248070,35610,357780,265520
34730,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33841K,33841L,154040,248070,35610,357780,265520
337450,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33842K,33842L,154040,248070,35610,357780,265520
340350,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33843K,33843L,154040,248070,35610,357780,265520
11790,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33844K,33844L,154040,248070,35610,357780,265520
18670,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33845K,33845L,154040,248070,35610,357780,265520
1740,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33846K,33846L,154040,248070,35610,357780,265520
1745,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33847K,33847L,154040,248070,35610,357780,265520
6120,258250,68270,68760,91990,290690,53110,950200,32680,32685,258790,66910,43100,336370,33848K,33848L,154040,248070,35610,357780,265520
